용어,초성,설명
공신력(公信力),ㄱ,"물권변동에 관하여 공시의 원칙을 취하였다 하더라도 그 외형적인 사실, 즉 권리관계의 표상(등기, 점유 등)이 언제나 진실된 권리관계와 일치된다고는 볼 수 없다. 따라서 표상을 신뢰하여 거래한 자라 하더라도 물권을 취득할 수 없다는 결과가 된다. 그러나 그렇게만 한다면 물권거래의 안전과 신속을 기대하기가 어렵기 때문에 물권의 표상에 대하여 그것을 신뢰한 자에게 물권을 취득케 하는 효력을 인정함으로써 무권리자를 보호할 필요가 생긴다. 이러한 효력을 공신력이라고 한다. 우리나라 민법상 동산에 관한 점유는 공신력을 가지고 있으나 부동산에 관한 등기는 공신력을 인정하지 않는다."
공실률(空室率),ㄱ,"일정한 지역의 전체 건물이나 특정 건물 중 사용되고 있지 않은 건물 부문의 면적 비율을 의미한다. 또한, 전체 건물에 포함된 방수를 기준으로 비어있는 방수의 비율로 표현하기도 한다."
공업배치및공장설립에관한법률,ㄱ,이 법은 공업의 합리적 배치를 유도하고 공장의 원활한 설립을 지원하며 공업입지 및 산업단지의 체계적 관리를 실현함으로써 지속적인 공업발전 및 균형있는 지역발전을 통하여 국민경제의 건전한 발전에 이바지함을 목적으로 제정된 법률이다.
"공업소유권(工業所有權, industrial property)",ㄱ,"특허권과 실용신안권, 상표권, 의장권을 총칭하는 말로서 산업상의 무형적 이익에 대한 배타적 지배권이라는 점에 특색이 있다. 만국공업소유권보호파리조약에서는 위의 4가지 외에 농업ㆍ광업 등에 관한 것도 포함하여 넓게 해석하고 있다. 공업소유권과 저작권을 합하여 무체재산권이라 한다."
공업입지요인(工業立地要因),ㄱ,"공업은 그 종류에 따라 중요시하는 입지 조건이 있어 여러가지 입지 요인별로 공업의 입지유형이 구분된다.
1. 원료 입지 : 시멘트, 제지 공업과 같이 제조 과정에서 원료의 중량이 감소되거나 통조림 공업과 같이 부패하기 쉬운 원료를 사용하는 공업 등이 있다. 석회석이 풍부한 태백산 지역에 시멘트 공업이 발달한 것이 좋은 예이다.
2. 소비지 입지 : 가구 공업과 같이 제조 과정에서 부피가 증가하거나 파손되기 쉬운 제품을 생산하는 공업 또는 의류, 인쇄, 출판 등과 같이 소비지와의 잦은 접촉이 요구되는 제품을 생산하는 공업은 서울, 부산 등의 대도시 주변에 위치한다.
3. 적환지 입지(교통 입지) : 정유, 제철 공업과 같이 해외에서 원료를 수입하여 가공하는 공업은 교통의 변환점에 입지한다. 울산, 인천, 포항 등에 발달한 중공업 지역에 나타난다.
4. 노동 입지 : 노동력이 풍부한 지역에 입지하는 공업은 대구와 경인 지방의 섬유, 구미의 전자 공업 등이 대표적이다."
"공업지역(工業地域, industrial district)",ㄱ,"도시계획법에서는 공업지역을 공업의 편익증진을 위하여 필요한 지역으로 정의하고 있다(도시계획법 제32조제3호).
공업지역은 다음과 같이 구분된다(도시계획법시행령 제29조제3호).
   가. 전용공업지역 : 주로 중화학공업ㆍ공해성 공업 등을 수용하기 위하여 필요한 지역
   나. 일반공업지역 : 환경을 저해하지 아니하는 공업의 배치를 위하여 필요한 지역
   다. 준공업지역 : 경공업 기타 공업을 수용하되, 주거ㆍ상업ㆍ업무기능의 보완이 필요한 지역
공업지역에서의 건폐율은 70퍼센트 이하(산업입지및개발에관한법률 제2조제5호의 산업단지인 경우에는 80퍼센트 이하)의 한도 내에서 도시계획법시행령이 정하는 기준에 따라 특별시ㆍ광역시ㆍ시 또는 군의 조례로 정한다(도시계획법 제54조제3호)."
공용부담(公用負擔),ㄱ,"공용부담이란 특정한 공익사업을 위하여 법률에 의해서 국민에게 강제적으로 과해지는 모든 인적ㆍ물적부담을 의미한다. 공용부담은 특정한 공익사업을 위한 부담인 점에서 경찰상의 부담(영업금지, 몰수)과  같은 소극적인 치안유지를 목적으로 하는 것과 다르며, 재정상의 부담(납세, 엽연초의 납부)과 같은 국가의 재정수입을 목적으로 하는 것과도 다르다. 또 통제법상의 부담이 국민경제의 통제라는 국가목적을 직접 목적으로 삼는 데 대하여  공용부담과 국가목적과의 관계는 간접적이다.
항상 국민에 과해지는 부담인 점에서 공공단체에 과하는 사업부담ㆍ경비부담 또는 이용자만이 이용을 위하여 지는 부담(수수료ㆍ사용료 등)과도 구별된다.
강제적으로 과해지는 경제적 부담이기 때문에 사법상의 계약에 의한 부담 또는 전신적이고 논리적 성질을 가진 공적인 부담(공무원의 성실의무)과도 구별된다.
공용부담은 특정인이 특정한 공익사업을 위하여 필요한 자위ㆍ부자위ㆍ급부의 의무를 부담하는 채권적인 것(인적공용부담)과 특정한 재산권이 공익사업에 필요하기 때문에 그 재산권에 고착하여 가해지는 물권적인 것(물적공용부담)이 있다.
인적공용부담에는 부담내용의 차이에 의하여 부담금, 부역, 현품, 노역, 물품, 시설부담, 부자위부담 등이 인고, 물적공용부담에는 부담성질상의 차이에 의하여 공용제한, 공용징수, 공용환지 등이 있다."
공용부분(共用部分),ㄱ,"구분소유건물에 있어서 전용부분 이외의 건물부분인 법률상 당연한 공용부분(낭하, 계단 등)과 구분소유의 목적이 되는 것으로서 규약 상 공용부분으로 되는 것(관리인실, 집회실 등), 건물의 부속물(전기배선, 급배수시설), 규약에 의하여 공용배분이 된 부속건물(차고, 창고 등)을 의미한다.
공용부분은 원칙적으로 구분소유자 전원의 공유이며 각 공유자의 지분은 전용부분의 면적비율에 따른다."
공용시설보호지구(公用施設保護地區),ㄱ,"공용시설보호지구란 학교시설ㆍ공용시설ㆍ항만 또는 공항의 보호, 업무기능의 효율화, 항공기의 안전운항 등을 위하여 필요한 시설보호지구중 공용시설을 보호하고 공공업무기능을 효율화하기 위하여 필요한 지구를 의미한다(도시계획법시행령 제30조제4호).
공용시설보호지구안에서는 공용시설의 기능수행에 장애가 된다고 인정하여 도시계획조례가 정하는 건축물을 건축할 수 없다. 다만, 특별시장ㆍ광역시장ㆍ시장 또는 군수가 지구의 지정목적에 위배되지 아니하는 범위안에서 도시계획조례가 정하는 기준에 적합하다고 인정하여 관계행정기관의 장과의 협의와 당해 지방자치단체에 설치된 도시계획위원회의 심의를 거친 경우에는 그러하지 아니하다(도시계획법시행령 제57조제1항)."
공용제한(公用制限),ㄱ,"특정한 공익사업의 수요를 충족시키기 위하여 특정한 재산권에 고착하여 과해지는 공법상의 제한. 공용부담의 일종. 제한되는 권리의 객체인 재산은 부동산(토지, 삼림 등) 또는 동산(중요문화재 등)이거나 무체재산권(특허권 등)일 때도 있다. 이 중에서 가장 일반적인 것은 토지의 소유권에 대한 제한이다. 이것을 공용지역이라고도 한다. 공용제한은 법률의 근거를 요하고 손실보상이 있어야 함은 당연하다. 공용제한에는 계획제한(計劃制限), 사업제한(事業制限), 공물제한(公物制限), 사용제한(使用制限)의 4종이 있다."
공용징수(公用徵收),ㄱ,"공용징수란 공공의 이익을 위하여 소유권 기타의 재산권을 강제적으로 수용하는 제도를 의미하는 것으로, 부동산에 대한 공용징수인 토지의 수용이 있을 경우 기업자(起業者)는 원칙적으로 등기없이 권리를 취득하고 종래의 권리는 소멸한다.(토지수용법 제67조)
공용징수는 토지수용법에 의한 수용이 가장 대표적이나 도로법이나 도시계획법, 항만법등의 특별법에 의한 수용 등이 있다."
공원(公園),ㄱ,"지적법에서는 일반공중의 보건ㆍ휴양 및 정서생활을 향상시키기 위하여 일정한 구역내에 필요한 시설을 갖춘 토지로서 도시계획법에 의하여 공원으로 결정ㆍ고시된 토지와 도시공원법에 의하여 도시공원 및 녹지로 지정된 토지의 지목은 공원으로 한다. 다만, 도시공원법에 묘지공원으로 결정ㆍ고시된 토지는 묘지로 한다(지적법시행령 제5조). 지적도에서 “공”으로 표기된다."
공유(共有),ㄱ,"공유라 함은 물건이 지분에 의하여 수인의 소유로 되는 공동소유를 말한다. 공유의 법적 성질에 대하여는 다수인이 하나의 소유권을 분량적으로 분할하여 소유하는 상태라는 견해가 통설이다. 이들 다수인을 공유자라고 하며, 공유는 공동소유의 형태 가운데 가장 개인적 색채가 강하다. 즉 공유에 있어서 수인은 한 개의물건을 공동으로 소유하지만 공유자들 사이에는 어떠한 인적 결합관계나 단체적 통제가 없다 따라서 목적물에 대한 각 공유자의 지배권능은 서로 완전히 자주ㆍ독립적이다. 
공유자 각자가 가지는 지배권능은 지분(持分)이라 하는데, 이 지분권은 질적으로는 독립소유권과 다름없다. 따라서 각 공유자가 가지는 지분의 처분은 자유이며, 원칙적으로 언제든지 목적물의 분할을 청구하여 공동소유관계를 폐지함으로써 완전한 개인적인 단독소유권으로 전환할 수 있다. 다만 목적물이 동일하기 때문에 그 행사에 제약을 받고 있는데 지나지 않는다."
공유면적(共有面積),ㄱ,"구분소유건물 중 공용부분의 면적을 의미한다. 통상 구분소유자의 소유 건물면적은 전유면적(전용면적)과 공용면적으로 구분되며, 이때의 공용면적은 전체 공용부분의 면적 중 해당 구분소유자의 지분인 공용부분의 면적으로 표기된다."
공유물분할(公有物分割),ㄱ,"공유물을 공유자의 지분권에 따라 나누는 것을 말한다. 즉 각 공유자는 법률의 규정이나 별단의 특약이 없는 한 언제든지 공유물의 분할을 청구할 수 있다. 또한, 공유자는 계약을 통하여 일정한 한도, 즉 5년이내의 기간에 한하여 분할하지 않을 것을 약정할 수 있다. 분할방법에는 현물분할과 대금분할, 가격배상에 의한 분할의 세 가지가 있다. 분할은 공유자간에 협의가 이루어지면 협의로서, 협의가 이루어지지 않을 경우에는 공유자가 법원에 재판상의 분할을 청구할 수 있다."
공유수면(公有水面),ㄱ,"일반적으로는 국가 또는 지방공공단체 등 공적기관의 소유인 수면을 말한다. 공유수면관리법에서는 바다ㆍ바닷가, 하천ㆍ호소ㆍ구거 기타 공공용으로 사용되는 수면 또는 수류로서 국유인 것을 공유수면으로 보고 있다. 이때 바닷가란 만조수위선으로부터 지적공부에 등록된 지역까지의 사이를 의미한다(제2조제1호)."
공유재산(公有財産),ㄱ,"지방자치단체(地方自治團體)의 소유인 재산을 의미하는 것으로 행정재산과 보존재산, 잡종재산으로 구분된다. 지방재정법에 의해 규율된다."
공유지(公有地),ㄱ,"어떤 시기에 공적 주체에서 소유하는 토지를 의미한다.
통상 공유지는 국ㆍ공유지라고 표현하며, 국공유지는 국유지와 공유지를 포함한 의미로 사용된다. 국유지는 국유재산법에 의해서, 공유지는 지방재정법에 의해 관리된다."
공유지(共有地),ㄱ,"공동소유권의 대상이 된 토지를 총칭하는 이름이다. 협의의 공유지는 공유형태의 공동소유 대상 토지를 의미하며, 광의의 공유지는 공유나 합유, 총유의 대상이된 토지를 총칭하기도 한다."
"공유지연명부(公有地連名簿, joint signature book of public land)",ㄱ,공유지연명부란 토지대장 또는 임야대장에 등록된 1 필지의 소유자가 2인 이상일 때 소유자 및 지분 등이 등재된 대장을 말한다.
공의무(公義務),ㄱ,"부동산중개업법에서 규정하고 있는 중개업자의 의무는 중개업자와 중개의뢰인 사이의 사의무(私義務)와 중개업자와 등록관청 사이의 공의무(公義務)로 구분할 수 있다.
사전적 의미에서 공의무란 일정한 범위 내에서 국가의 통제에 따르고 국가의 합법적인 명령의 강제에 대하여 무조건 복종해야 하는 국민의 의무를 의미한다. 그러나 공의무 역시도 국민의 자유를 보장한다는 취지에서만 인정되고 있는 것이다. 헌법이 규정하는 것 외에 법률이 규정하는 공의무도 있다.
중개업자가 등록관청등을 대상으로 이행해야 할 공적의무(公的義務) 즉, 공의무(公義務)는 대부분 중개업법에서 정한 행정절차와 관리ㆍ감독 관련 의무가 포함된다.
◇ 업무범위준수의무(법 제9조)
◇ 이중등록금지의무(법 제10조)
◇ 2사무소설치금지의무(법 제11조제1항)
◇ 법인의 분사무소설치신고의무(법 제11조제2항)
◇ 사무소이전신고의무(법 제12조)
◇ 인장등록ㆍ사용의무(법 제14조)
◇ 금지행위부작위의무(법 제15조)(= 금지행위를 하지 않을 의무)
◇ 업무보증설정의무(법 제19조)
◇ 관리ㆍ감독에 응할 의무(법 제21조)
◇ 등록증등의 게시의무(법 제26조)
◇ 사전교육 이수의무(법 제29조)
◇ 서면 보관의무(거래계약서, 전속중개계약서, 중개물건확인ㆍ설명서, 중개수수료영수증)"
공인중개(公認仲介),ㄱ,공인중개란 부동산중개업법에 규정된 중개업자에 의한 합법적 의미의 부동산중개를 의미한다. 사중개에 대비되는 개념이다.
"공인중개사(公認仲介士, Licensed Real Estate Agent)",ㄱ,"공인중개사라 함은 부동산중개업법에 의한 공인중개사자격을 취득한 자를 말한다(법 제2조제4호).
공인중개사가 되기 위해서는 공인중개사시험 실시기관의 장인 건설교통부장관ㆍ특별시장ㆍ광역시장ㆍ도지사가 시행하는 공인중개사자격시험에 합격하여 공인중개사자격을 취득해야 한다(법 제8조제1항).
공인중개사는 부동산중개를 할 수 있는 자격을 소지한 자이다. 그러나 공인중개사자격증을 소지하고 있다고 하여 당연히 중개업자가 되는 것은 아니다. 중개업을 하고자 하는 공인중개사는 사무소를 두고자 하는 지역을 관할하는 시장ㆍ군수ㆍ구청장에게 중개사무소의 개설등록을 하여야 한다(법제4조)."
공인중개사시험위원회(公認仲介士試驗委員會),ㄱ,"공인중개사시험에 관하여 건설교통부에 설치된 시험위원회로서, 다음과 같은 사항을 심의ㆍ의결한다.
1. 응시자격에 관한 사항
2. 시험방법에 관한 사항
3. 선발예정인원의 결정에 관한 사항
4. 시험문제의 출제 및 채점에 관한 사항
5. 시험합격자의 결정에 관한 사항
6. 기타 시험의 실시를 위하여 필요한 사항
시험위원회는 위원장 1인을 포함한 7인 이내의 위원으로 구성되며, 위원장은 건설교통부장관이 되고, 위원은 부동산중개업무 및 관련분야에 관하여 학식과 경험이 풍부한 자 또는 시민단체(비영리민간단체지원법 제2조의 규정에 의한 비영리민간단체를 말한다)에서 추천한 자 중에서 건설교통부장관이 임명 또는 위촉한다(부동산중개업법시행령 제12조)."
공작물(工作物),ㄱ,"일반적으로는 인공적 작업에 의하여 만들어진 물건을 말하지만 법률적으로는 토지에 접착되어 설치된 공작물을 가리키는 경우가 많다. 즉, 건물이나 담, 동상, 다리와 같은 지상물 외에 제방, 터널, 개천 따위도 이에 포함된다. 토지의 공작물에는 위험이 많으므로 하자로 인한 손해에 관하여는 점유자의 배상이 가중되어 소유자는 무과실책임을 지게 된다.
토지의형질변경등행위허가기준등에관한규칙에서는 공작물을 지상이나 지하에 인공을 가하여 제작한 시설물(녹지지역안에설치하는 농림어업용 비닐하우스를 제외한다) 및 콘크리트 포장물(이와 유사하게지상에 포장한 것을 포함한다)으로 보고 있다(제2조제3호)."
공장(工場),ㄱ,"건축법상의 용어로서, 공장이란 물품의 제조ㆍ가공(염색ㆍ도장ㆍ표백ㆍ재봉ㆍ건조 ㆍ인쇄 등을 포함한다) 또는 수리에 계속적으로 이용되는 건축물로서 제2종 근린생활시설, 위험물저장 및 처리시설, 자동차관련시설, 분뇨 및 쓰레기처리시설 등으로 따로 분류되지 아니한 용도의 건축물을 의미한다(건축법시행령 별표1).
공장저당법에서는 영업을 하기 위하여 물품의 제조, 가공 또는 인쇄나 촬영의 목적에 사용하는 장소와 영업을 하기 위하여 방송의 목적 또는 전기나 까스의 공급의 목적에 사용하는 장소를 공장으로 본다(제2조)."
공장용지(工場用地),ㄱ,지적법에서는 제조업을 목적으로 하는 공장시설물의 부지와 관계법령에 의한 공장부지 조성을 목적으로 하는 공사가 준공된 토지와 당해 토지와 같은 구역안에 있는 의료시설등 부속시설물의 부지의 지목은 공장용지로 한다(지적법시행령 제5조). 공장용지는 지적도에서 “장”으로 표기된다.
공장재단(工場財團),ㄱ,"공장재단이라 함은 공장에 속하는 일단의 기업용 재산으로 공장저당법에 의하여 소유권과 저당권의 목적이 되는 것을 말한다(공장저당법 제3조). 공장재단은 공장에 속하는 토지와 공작물과 기계, 기구, 전주, 전선, 배치제관, 기타의 부속물, 지상권(地上權) 및 전세권(傳貰權), 임대인의 동의가 있는 경우에는 물건의 임차권(賃借權), 공업소유권(工業所有權)등으로 구성되는 일단의 기업재산이다.
공장저당법에 의하여 공장재단등기부에 소유권보존의 등기를 함으로써 공장재단에 대한 공시(公示)의 기능을 하게 된다.
일단의 기업재산총합체인 공장재단은 1개의 부동산으로 본다. 공장재단을 구성하는 물건은 각각 분리하여 처분할 수 없고, 반면 제3자의 개별적인 집행도 불가능하다."
공장저당(工場抵當),ㄱ,"공장저당법에 의해 공장재단을 조성하지 않고 공장에 속한 재산(토지, 건물, 기계, 기구 등)에 설정되는 특수한 저당을 의미한다. 공장에 속하는 재산이 재단을 조성하는 경우는, 공장재단저당이 된다. 공장저당은 공장에 속하는 토지  또는  건물의 개개에 대하여 저당권을 설정하는 것으로서 공장전체를 1개의 부동산으로 간주하여 저당권을 설정하는 것이 아니라는 점에서 공장재단저당하고는 다르나 당해부동산의 부가물, 비물(기계기구)기타 공장용으로 제공하는 것에도 미치는 점에서 민법의 저당권보다도 효력의 범위가 확대되어 있다."
공장저당법(工場抵當法),ㄱ,"공장에 속하는 토지 또는 건물에 대한 저당권의 설정, 공장재단의 구성과 이 재단에 대한 저당권의 설정 및 등기 등의 제관계를 적절히 규율함으로써 생산공장의 제기업으로 하여금 자금을 확보하게 하여 기업의 유지와 그 건전한 발전을 도모하고자 제정된 법률이다(1962.10.17 법률 제749호). 이 법은 공장의 토지와 건물의 저당, 공장재단의 등기, 벌칙등의 규정을 두고 있다."
공정(工程),ㄱ,"건축이나 토목공사의 작업과정을 의미한다. 건축공사등은 일정한 공정에 의해 시행되며, 전체 공정중 특정시점 현재 공사의 진행정도를 표현하는 용어로서 공정율이 사용되기도 한다."
공정중개의무(公正仲介義務),ㄱ,"부동산중개업법에서는 중개업자는 공정하게 중개행위를 하여야 한다고 규정하고 있다(법 제16조제1항후단). 이러한 공정중개의무는 거래상의 이해가 대치되는 양 당사간의 부동산거래를 알선해주는 지위에 있는 중개업자에게, 일방 당사자의 이익에만 치우치는 중개행위를 금지하는 것을 의미하는 것으로 해석된다."
공정증서(公正證書),ㄱ,"공정증서라 함은 부동산등기부나 토지대장, 호적부, 상업등기부 또는 공무원이 그 직무상 작성하는 문서나 공증인이 법률 행위, 그 밖에 개인의 권리에 관한 사실에 대하여 작성한 증서로서 권리ㆍ의무에 관한 어떠한 사실을 증명하는 효력을 가지는 것을 말한다. 그것은 사법상의 사항의 증명에만 한정하는 것이 아니고 세금납부 등의 사항을 증명하는 것도 포함한다.
공정증서는 공문서로 강력한 증거력을 가지며 공증인의 공정증서는 강제 집행에 있어서는 채무 명의로서 집행력을 가진다."
공제(控除),ㄱ,"부동산중개업법 제19조제3항에서의 제35조의2의 규정에 의한 공제란 중개업법에 의해 건설교통부장관으로부터 인가를 받은 부동산중개업협회에서 시행하는 공제를 의미하는 것으로, 공제계약은 보증보험과 유사한 타인을 위한 손해보험계약으로 해석해야 할 것이다."
공조공과(公租公課),ㄱ,"국가 또는 지방공공단체가 그 경비를 충당하기 위하여 국민으로부터 강제적으로 징수하는 세수를 말한다. 공조란 국세 또는 지방세를 말하며, 공과란 조세 이외의 공적인 금전부담으로서, 예를 들어 공법상의 수수료 등이 이에 해당한다. 공조공과는 부동산임대료 계산시 필요제경비에 포함되나, 법인세나 소득세 등 이른바 인세 및 각종 가산세나 연체료와 같은 벌칙적 의미로서 부과되는 것은 필요경비에 포함되지 않아야 한다."
공증(公證),ㄱ,"공증이란 법률행위를 공적(公的)으로 증명하는 것으로 공증담당기관이 행한다.
공증담당기관은 공증인가를 받은 합동법률사무소와 법무법인 및 임명된 공증인이 있으며, 이들 공증인이 없는 지역은 지방검찰청 또는 지청의 공증인 직무대행을 임명받은 검사가 담당한다.
공증의 방법에는 공정증서(公正證書)의 작성과 사서증서(私署證書)의 인증(認證)이 있다.
공정증서의 작성이란 공증인이 당사자의 진술을 듣고 그 내용을 직접 작성하는 것으로 어음이나 수표의 거래나, 금전대차, 유언 등의 경우에 이용되며 재판의 절차를 거치지 아니하고 공정증서로 강제집행할 수 있다.
사서증서의 인증이란 계약서 기타 당사자가 작성한 서류에 대하여 공증인이 사실관계를 확인하여 인증서를 작성하는 것으로 인증서는 재판시에 진정성립을 인정하는 증거력을 갖게 된다.
공증촉탁에 필요한 문서로는, 본인이 촉탁할 때에는 인장과 본인의 주민등록증 또는 사진이 첨부되어 있는 관공서 발행의 신분증명서(법인이 촉탁인일  때는 대표자의  법인 인감증명서와 등기부등본 또는 초본)이 필요하다.
대리인이 촉탁할 때에는 본인의 인감증명서 1통(발행일로부터 6개월이내)과 위임장 1통, 대리인의 주민등록증과 인장이 필요하다."
공증인(公證人),ㄱ,"당사자 기타의 관계인의 촉탁에 의해 법률행위 기타 사권에 관한 사실에 대하여 공정증서를 작성하고, 또 사실증서에 인증을 주거나, 정관에 인증을 주는 권한을 가진 사람을 말한다. 공증인이 작성한 문서는 완벽한 증거력을 갖으며, 강제 집행에 있어서는 채무 명의로서 집행력을 가진다."
"공지(空地, vacant lot)",ㄱ,"일반적으로 공지란 건물이나 공작물을 설치하지 않은 미이용 토지를 의미하며, 건축물이 축조된 대지 중 건축물이 축조되지 않은 부분의 토지를 의미하는 경우도 있다."
공청회(公聽會),ㄱ,"공청회라 함은 행정청이 공개적인 토론을 통하여 어떠한 행정작용에 대하여 당사자등, 전문지식과 경험을 가진 자 기타 일반인으로부터 의견을 널리 수렴하는 절차를 말한다(행정절차법 제2조제1호)."
"공탁(供託, deposit)",ㄱ,"공탁이란 법령의 규정에 의하여 금전ㆍ유가증권 또는 그밖의 물품을 공탁소 또는 일정한 자에게 임치(任置)하는 것으로, 우리나라의 공탁소는 법원에 설치되어 있다. 공탁의 성질은 공탁공무원의 수탁처분(受託處分)과 공탁물보관자의 공탁물 수령으로써 성립하는 하나의 공법상의 법률관계이다.
공탁을 하는 경우는 공ㆍ사법(公ㆍ私法)에 걸쳐 대단히 많으나 크게 나누면 채무소멸(債務消滅)을 위하여 하는 공탁(변제공탁)과 채권담보를 위하여 하는 공탁(담보공탁), 단순히 보관(保管)이란 의미로 하는 공탁(보관공탁), 그밖에 특수한 목적을 위하여 하는 공탁(특수공탁)의 4종류로 구분된다. 부동산중개업법에 의한 업무보증을 위한 공탁은 이중 담보공탁의 범주에 포함된다."
"공한지(空閑地, vacant land)",ㄱ,공한지란 건축등을 통해 유효한 토지 이용이 가능하지만 현재는 이용되고 있지 않은 토지를 의미한다.
공항시설보호지구(空港施設保護地區),ㄱ,"공항시설보호지구란 학교시설ㆍ공용시설ㆍ항만 또는 공항의 보호, 업무기능의 효율화, 항공기의 안전운항 등을 위하여 필요한 시설보호지구중 공항시설의 보호와 항공기의 안전운항을 위하여 필요한 지구를 의미한다(도시계획법시행령 제30조제4호).
공항시설보호지구안에서의 건축제한에 관하여는 항공법이 정하는 바에 의하되, 그 이외의  건축물의 용도 및 형태 등의 제한에 관하여는 공항시설의 보호와 항공기의 이ㆍ착륙에 장애가 되지 아니하는 범위안에서 도시계획조례로 정한다(도시계획법시행령 제57조제2항)."
공항지구(空港地區),ㄱ,공항시설의 확장이나 공항시설의 보호와 항공으로부터 주거생활의 안전을 보호하기 위하여 필요한 일정지구를 획정ㆍ구분하여 지정한 지구를 말한다.
"공해(公害, environmental pollution)",ㄱ,"공해란 사업 활동 기타 사람의 활동에 수반하여 생기는 상당 범위에 걸치는 대기 오염, 수질 오염, 토양 오염, 소음, 진동, 지반 침하, 또는 악취 등에 의해 사람의 건강 또는 생활 환경에 관한 피해가 생기는 것을 의미한다."
과료(科料),ㄱ,"과료도 재산형의 일종으로 범죄인에게 일정한 금액의 지불의무를 강제적으로 부담하게 한다는 점에서 벌금형과 동일하다. 다만 경미한 범죄에 대하여 부과되며, 따라서 그 금액이 적다는 점에서 벌금과 구별될 뿐이다. 과료는 2천원 이상 5만원 미만으로 한다. 과료를 납입하지 아니한 자는 1일 이상 30일 미만의 기간 노역장에 유치하여 작업에 복무하게 한다. 과료는 과태료와 구별하여야 한다. 즉 과료는 재산형의 일종이지만 과태료는 형법상의 형벌이 아니라 행정상의 제재에 불과하다. 과료는 형법에 예외적으로 규정되어 있는데 불과하다. 따라서 주로 경범죄처벌법이나 단행법률에 많이 규정되어 있다."
과밀부담금(過密負擔金),ㄱ,"과밀부담금이란 수도권정비계획법에 의거 동법에서 정한 과밀억제권역에서 건축을 하는 건축주에게 부과되는 부담금을 의미한다(동법 제12조).
부담금액은 건축비의 100분의 10으로 하되, 지역별 여건을 감안하여 건축비의 100분의 5까지 조정할 수 있다(동법 제14조)."
과밀억제권역(過密抑制圈域),ㄱ,"과밀억제권역이란 인구 및 산업이 과도하게 집중되었거나 집중될 우려가 있어 그 이전 또는 정비가 필요한 지역을 말한다(수도권정비계획법 제6조제1항제1호).
관계행정기관의 장은 과밀억제권역안에서 다음 각호의 행위나 이의 허가ㆍ인가ㆍ승인 또는 협의등을 하여서는 아니된다(동법 제7조제1항).
  1. 대통령령이 정하는 학교ㆍ공공청사ㆍ연수시설 기타 인구집중유발시설의 신설ㆍ 증설(용도변경을 포함하며, 학교의 증설은 입학정원의 증원을 말한다)
  2. 공업지역의 지정
관계행정기관의 장은 국민경제의 발전과 공공복리의 증진을 위하여 필요하다고 인정하는 경우에는 제1항의 규정에 불구하고 다음 각호의 행위나 이의 허가등을 할 수있다(동법 제7조제2항).
  1. 대통령령이 정하는 학교ㆍ공공청사의 신설ㆍ증설
  2. 서울특별시ㆍ광역시ㆍ도별 기존 공업지역의 총면적을 증가시키지 아니하는 범위안에서의 공업지역의 지정. 다만, 건설교통부장관이 수도권정비위원회의 심의를 거쳐 지정하거나 허가등을 하는 경우에 한한다."
과세표준(課稅標準),ㄱ,과세표준이란 세법에 의하여 세액산출의 기초가 되는 과세대상 물건의 수량 또는 가액을 의미한다.
과수원(果樹園),ㄱ,"지적법에서는 일정한 구역을 정하여 사과ㆍ배ㆍ밤ㆍ호도나무등 과수류를 집단적으로 재배하는 토지와 이에 접속된 저장고등 부속시설물의 부지의 지목은 과수원으로 한다. 다만, 주거용 건축물의 부지의 지목은 대(垈)로 한다(지적법시행령 제5조). 과수원은 지적도에서 “과”로 표기된다."
"과실(過失, negligence)",ㄱ,"일정한 결과가 발생한다는 것을 알고 있었어야 함에도 불구하고 주의를 게을리하였기 때문에 그것을 알지 못하고서 어떤 행위를 하는 심리상태를 말한다는 것이 종래의 통설(通說)이다. 과실의 결과는 어떤 상황하에서는 일정한 행위(작위 또는 부작위)를 하여야 함에도 이를 하지 않았다고 하는 일종의 행위의무위반의 형태로 나타난다.
과실은 부주의의 정도에 따라 중과실(重過失)과 경과실(輕過失)로 나누어지는데 민법이나 상법 등에서 과실이라 하면 경과실을 말하고, 중과실을 의미하는 경우에는 특히 “중대한 과실”이라 한다"
과실범(過失犯),ㄱ,"정상의 주의를 태만함으로 인하여 죄의 성립요소인 사실을 인식하지 못하고 죄를 범한 자를 의미한다. 형법에서는 과실범은 법률에 특별한 규정이 있는 경우에 한하여 처벌한다고 규정하고 있다(제14조).
부동산중개업법의 행정형벌관련 규정에서는 과실범에 대한 처벌조항이 없으므로, 중개업법의 행정형벌의 요건에 해당하는 자라도 과실에 의한 것이 입증될 경우에는 처벌을 받지 않을 것이다."
과실상계(過失相計),ㄱ,"불법행위나 채무불이행으로 인한 손해배상청구에 있어서 그 손해의 발생 또는 증대에 대해 피해자(채권자)에게도 과실이 있으면 배상책임의 유무 및 손해액을 정하는 데 있어 그 과실을 참작하는 것(민법 제396조, 제763조). 오로지 자기의 과실에 의한 손해를 전부 타인에게 전가하는 것은 형평의 원칙에 반한다는 논리에 입각한 제도이다."
